Date_day0,RMM1(0),RMM2(0),RMM1(forecast),RMM2(forecast),RMM1(obs),RMM2(obs)
2006-09-28,1.4048889875411987,0.1475670039653778,1.605,1.3769999999999998,1.5054494142532349,2.0415468215942383
2006-10-01,1.924912452697754,1.591435194015503,0.682,1.807,0.6040408611297607,1.821778655052185
2006-10-05,0.9227675795555115,1.9360617399215698,-1.179,1.002,-1.766937494277954,1.8808753490447998
2006-10-08,-0.6564025282859802,1.71270751953125,-2.025,0.934,-2.584043264389038,1.0797615051269531
2006-10-12,-2.4547078609466553,1.4392355680465698,-2.109,0.344,-2.8959193229675293,-0.04878151789307594
2006-10-15,-2.5648415088653564,0.6075217127799988,-1.745,-0.39299999999999996,-2.218245506286621,-0.6681100726127625
2006-10-19,-2.358260154724121,-0.5666630864143372,-1.084,-0.7340000000000001,-1.430166244506836,-0.8213602900505066
2006-10-22,-1.7152048349380493,-0.7941266298294067,-0.5920000000000001,-0.619,-0.7762712836265564,-0.14114989340305328
2006-10-26,-0.945439338684082,-0.485391229391098,-0.156,0.045,-0.2905481159687042,-0.2071664035320282
2006-10-29,-0.2679981291294098,-0.0464058481156826,-0.11,0.515,-0.28467148542404175,0.2339947372674942
2006-11-02,-0.16904568672180176,0.1474897861480713,-0.885,-0.17,-1.2655367851257324,-0.48866984248161316
2006-11-05,-0.776225745677948,0.06047336757183075,-1.442,-0.225,-1.7103172540664673,-0.1729270964860916
2006-11-09,-1.7014950513839722,-0.34999459981918335,-1.431,-0.6759999999999999,-1.9500367641448975,-0.7657477855682373
2006-11-12,-1.7440694570541382,-0.6265679001808167,-1.1159999999999999,-0.8420000000000001,-1.7078111171722412,-1.1776572465896606
2006-11-16,-1.670830249786377,-0.9712957739830017,-0.87,-1.436,-0.5853756070137024,-1.837598204612732
2006-11-19,-1.5265268087387085,-1.7761344909667969,-0.059000000000000004,-1.6669999999999998,0.2532697021961212,-1.5774089097976685
2006-11-23,0.18570226430892944,-1.743080496788025,0.433,-0.898,0.7088460922241211,-0.8136472702026367
2006-11-26,0.5929093956947327,-0.8386669754981995,0.182,-0.6509999999999999,0.5125847458839417,-0.6303554773330688
2006-11-30,0.48503077030181885,-0.47017067670822144,0.071,-0.23199999999999998,0.24589037895202637,-0.09442872554063797
2006-12-03,0.4580351412296295,-0.18262161314487457,-0.114,-0.086,-0.2162625938653946,-0.2920905351638794
2006-12-07,-0.15234626829624176,-0.17325684428215027,-0.402,-0.987,-0.5068747997283936,-1.1976135969161987
2006-12-10,-0.3260693848133087,-0.6294013261795044,-0.263,-0.927,-0.10729608684778214,-1.277380347251892
2006-12-14,-0.2576967775821686,-1.3354485034942627,0.154,-1.62,-0.02094578742980957,-2.3468332290649414
2006-12-17,-0.10569910705089569,-1.4582645893096924,-0.19699999999999998,-1.76,0.11018870770931244,-2.002598524093628
2006-12-21,0.16119782626628876,-2.290573835372925,0.24100000000000002,-1.9269999999999998,0.6286812424659729,-2.337830066680908
